Monsterid,Damage,Health,GoldValue,DiaValue,Reward1,Reward1Value,Asset
30001,16,121,500,-1,-1,-1,Spider2
30002,18,144,520,-1,-1,-1,Spider2
30003,19,169,580,-1,-1,-1,Spider2
30004,21,196,680,-1,-1,-1,Spider2
30005,22,225,820,1000,-1,-1,Spider2
30006,24,256,1000,-1,-1,-1,Spider2
30007,25,289,1220,-1,-1,-1,Spider2
30008,27,324,1480,-1,-1,-1,Spider2
30009,28,361,1780,-1,-1,-1,Spider2
30010,30,400,2120,1500,-1,-1,Spider2
30011,31,441,2500,-1,-1,-1,Spider2
30012,33,484,2920,-1,-1,-1,Spider2
30013,34,529,3380,-1,-1,-1,Spider2
30014,36,576,3880,-1,-1,-1,Spider2
30015,37,625,4420,2000,-1,-1,Spider2
30016,39,676,5000,-1,-1,-1,Spider2
30017,40,729,5620,-1,-1,-1,Spider2
30018,42,784,6280,-1,-1,-1,Spider2
30019,43,841,6980,-1,-1,-1,Spider2
30020,45,900,7720,2500,-1,-1,Spider2
30021,46,961,8500,-1,-1,-1,Spider2
30022,48,1024,9320,-1,-1,-1,Spider2
30023,49,1089,10180,-1,-1,-1,Spider2
30024,51,1156,11080,-1,-1,-1,Spider2
30025,52,1225,12020,3000,-1,-1,Spider2
30026,54,1296,13000,-1,-1,-1,BigWorm2
30027,55,1369,14020,-1,-1,-1,BigWorm2
30028,57,1444,15080,-1,-1,-1,BigWorm2
30029,58,1521,16180,-1,-1,-1,BigWorm2
30030,60,1600,17320,3500,-1,-1,BigWorm2
30031,61,1681,18500,-1,-1,-1,BigWorm2
30032,63,1764,19720,-1,-1,-1,BigWorm2
30033,64,1849,20980,-1,-1,-1,BigWorm2
30034,66,1936,22280,-1,-1,-1,BigWorm2
30035,67,2025,23620,4000,-1,-1,BigWorm2
30036,69,2116,25000,-1,-1,-1,BigWorm2
30037,70,2209,26420,-1,-1,-1,BigWorm2
30038,72,2304,27880,-1,-1,-1,BigWorm2
30039,73,2401,29380,-1,-1,-1,BigWorm2
30040,75,2500,30920,4500,-1,-1,BigWorm2
30041,76,2601,32500,-1,-1,-1,BigWorm2
30042,78,2704,34120,-1,-1,-1,BigWorm2
30043,79,2809,35780,-1,-1,-1,BigWorm2
30044,81,2916,37480,-1,-1,-1,BigWorm2
30045,82,3025,39220,5000,-1,-1,BigWorm2
30046,84,3136,41000,-1,-1,-1,BigWorm2
30047,85,3249,42820,-1,-1,-1,BigWorm2
30048,87,3364,44680,-1,-1,-1,BigWorm2
30049,88,3481,46580,-1,-1,-1,BigWorm2
30050,90,3600,48520,5500,-1,-1,BigWorm2
30051,91,3721,50500,-1,-1,-1,Assassin
30052,93,3844,52520,-1,-1,-1,Assassin
30053,94,3969,54580,-1,-1,-1,Assassin
30054,96,4096,56680,-1,-1,-1,Assassin
30055,97,4225,58820,6000,-1,-1,Assassin
30056,99,4356,61000,-1,-1,-1,Assassin
30057,100,4489,63220,-1,-1,-1,Assassin
30058,102,4624,65480,-1,-1,-1,Assassin
30059,103,4761,67780,-1,-1,-1,Assassin
30060,105,4900,70120,6500,-1,-1,Assassin
30061,106,5041,72500,-1,-1,-1,Assassin
30062,108,5184,74920,-1,-1,-1,Assassin
30063,109,5329,77380,-1,-1,-1,Assassin
30064,111,5476,79880,-1,-1,-1,Assassin
30065,112,5625,82420,7000,-1,-1,Assassin
30066,114,5776,85000,-1,-1,-1,Assassin
30067,115,5929,87620,-1,-1,-1,Assassin
30068,117,6084,90280,-1,-1,-1,Assassin
30069,118,6241,92980,-1,-1,-1,Assassin
30070,120,6400,95720,7500,-1,-1,Assassin
30071,121,6561,98500,-1,-1,-1,Assassin
30072,123,6724,101320,-1,-1,-1,Assassin
30073,124,6889,104180,-1,-1,-1,Assassin
30074,126,7056,107080,-1,-1,-1,Assassin
30075,127,7225,110020,8000,-1,-1,Assassin
30076,129,7396,113000,-1,-1,-1,Assassin
30077,130,7569,116020,-1,-1,-1,Assassin
30078,132,7744,119080,-1,-1,-1,Assassin
30079,133,7921,122180,-1,-1,-1,Assassin
30080,135,8100,125320,8500,-1,-1,Assassin
30081,136,8281,128500,-1,-1,-1,Assassin
30082,138,8464,131720,-1,-1,-1,Assassin
30083,139,8649,134980,-1,-1,-1,Assassin
30084,141,8836,138280,-1,-1,-1,Assassin
30085,142,9025,141620,9000,-1,-1,Assassin
30086,144,9216,145000,-1,-1,-1,Assassin
30087,145,9409,148420,-1,-1,-1,Assassin
30088,147,9604,151880,-1,-1,-1,Assassin
30089,148,9801,155380,-1,-1,-1,Assassin
30090,150,10000,158920,9500,-1,-1,Assassin
30091,151,10201,162500,-1,-1,-1,Assassin
30092,153,10404,166120,-1,-1,-1,Assassin
30093,154,10609,169780,-1,-1,-1,Assassin
30094,156,10816,173480,-1,-1,-1,Assassin
30095,157,11025,177220,10000,-1,-1,Assassin
30096,159,11236,181000,-1,-1,-1,Assassin
30097,160,11449,184820,-1,-1,-1,Assassin
30098,162,11664,188680,-1,-1,-1,Assassin
30099,163,11881,192580,-1,-1,-1,Assassin
30100,165,12100,196520,10500,-1,-1,Assassin
30101,166,12321,200500,-1,-1,-1,Mage Skeleton
30102,168,12544,204520,-1,-1,-1,Mage Skeleton
30103,169,12769,208580,-1,-1,-1,Mage Skeleton
30104,171,12996,212680,-1,-1,-1,Mage Skeleton
30105,172,13225,216820,11000,-1,-1,Mage Skeleton
30106,174,13456,221000,-1,-1,-1,Mage Skeleton
30107,175,13689,225220,-1,-1,-1,Mage Skeleton
30108,177,19044,229480,-1,-1,-1,Mage Skeleton
30109,178,19321,233780,-1,-1,-1,Mage Skeleton
30110,180,19600,238120,11500,-1,-1,Mage Skeleton
30111,181,19881,242500,-1,-1,-1,Mage Skeleton
30112,183,20164,246920,-1,-1,-1,Mage Skeleton
30113,184,20449,251380,-1,-1,-1,Mage Skeleton
30114,186,20736,255880,-1,-1,-1,Mage Skeleton
30115,187,56709,260420,12000,-1,-1,Mage Skeleton
30116,189,57187,265000,-1,-1,-1,Mage Skeleton
30117,190,57666,269620,-1,-1,-1,Mage Skeleton
30118,192,58147,274280,-1,-1,-1,Mage Skeleton
30119,193,58630,278980,-1,-1,-1,Mage Skeleton
30120,195,59116,283720,12500,-1,-1,Mage Skeleton
30121,196,59603,288500,-1,-1,-1,Mage Skeleton
30122,198,196931,293320,-1,-1,-1,Mage Skeleton
30123,199,197820,298180,-1,-1,-1,Mage Skeleton
30124,201,198710,303080,-1,-1,-1,Mage Skeleton
30125,202,199603,308020,13000,-1,-1,Mage Skeleton
30126,204,200497,313000,-1,-1,-1,Spider1
