GachaID,Gacha1_ID,Gacha1_Odds,Gacha2_ID,Gacha2_Odds,Gacha3_ID,Gacha3_Odds,Gacha4_ID,Gacha4_Odds,Gacha5_ID,Gacha5_Odds
150017,100001,20,100002,20,100003,20,100004,20,100005,20
150018,100031,20,100032,20,100033,20,100034,20,100035,20
150019,100061,20,100062,20,100063,20,100064,20,100065,20
150020,100091,20,100092,20,100093,20,100094,20,100095,20
150021,100121,20,100122,20,100123,20,100124,20,100125,20
150022,100151,20,100152,20,100153,20,100154,20,100155,20
150023,100006,20,100007,20,100008,20,100009,20,100010,20
150024,100036,20,100037,20,100038,20,100039,20,100040,20
150025,100066,20,100067,20,100068,20,100069,20,100070,20
150026,100096,20,100097,20,100098,20,100099,20,100100,20
150027,100126,20,100127,20,100128,20,100129,20,100130,20
150028,100156,20,100157,20,100158,20,100159,20,100160,20
150029,100011,20,100012,20,100013,20,100014,20,100015,20
150030,100041,20,100042,20,100043,20,100044,20,100045,20
150031,100071,20,100072,20,100073,20,100074,20,100075,20
150032,100101,20,100102,20,100103,20,100104,20,100105,20
150033,100131,20,100132,20,100133,20,100134,20,100135,20
150034,100161,20,100162,20,100163,20,100164,20,100165,20
150035,100016,20,100017,20,100018,20,100019,20,100020,20
150036,100046,20,100047,20,100048,20,100049,20,100050,20
150037,100076,20,100077,20,100078,20,100079,20,100080,20
150038,100106,20,100107,20,100108,20,100109,20,100110,20
150039,100136,20,100137,20,100138,20,100139,20,100140,20
150040,100166,20,100167,20,100168,20,100169,20,100170,20
150041,100021,20,100022,20,100023,20,100024,20,100025,20
150042,100051,20,100052,20,100053,20,100054,20,100055,20
150043,100081,20,100082,20,100083,20,100084,20,100085,20
150044,100111,20,100112,20,100113,20,100114,20,100115,20
150045,100141,20,100142,20,100143,20,100144,20,100145,20
150046,100171,20,100172,20,100173,20,100174,20,100175,20
150047,100026,20,100027,20,100028,20,100029,20,100030,20
150048,100056,20,100057,20,100058,20,100059,20,100060,20
150049,100086,20,100087,20,100088,20,100089,20,100090,20
150050,100116,20,100117,20,100118,20,100119,20,100120,20
150051,100146,20,100147,20,100148,20,100149,20,100150,20
150052,100176,20,100177,20,100178,20,100179,20,100180,20
