Monsterid,Damage,Health,GoldValue,Reward,RewardValue,Asset1,Asset2
20001,1,5,120,-1,-1,Slime (Green),Snake
20002,3,19,170,-1,-1,Slime (Green),Snake
20003,3,23,220,-1,-1,Slime (Green),Snake
20004,3,27,270,-1,-1,Slime (Green),Snake
20005,6,32,320,-1,-1,Slime (Green),Snake
20006,6,36,370,-1,-1,Slime (Green),Snake
20007,6,42,420,-1,-1,Slime (Green),Snake
20008,6,47,470,-1,-1,Slime (Green),Snake
20009,6,52,520,-1,-1,Slime (Green),Snake
20010,6,58,570,-1,-1,Slime (Green),Snake
20011,6,64,620,-1,-1,Slime (Green),Snake
20012,6,70,670,-1,-1,Slime (Green),Snake
20013,6,76,720,-1,-1,Slime (Green),Snake
20014,6,83,770,-1,-1,Slime (Green),Snake
20015,6,89,820,-1,-1,Slime (Green),Snake
20016,10,96,870,-1,-1,Slime (Green),Snake
20017,10,103,920,-1,-1,Slime (Green),Snake
20018,10,110,970,-1,-1,Slime (Green),Snake
20019,10,118,1020,-1,-1,Slime (Green),Snake
20020,10,125,1070,-1,-1,Slime (Green),Snake
20021,10,133,1120,-1,-1,Slime (Green),Snake
20022,10,140,1170,-1,-1,Slime (Green),Snake
20023,10,148,1220,-1,-1,Slime (Green),Snake
20024,10,156,1270,-1,-1,Slime (Green),Snake
20025,10,164,1320,-1,-1,Slime (Green),Snake
20026,10,173,1370,-1,-1,Slime (Green),Earth Sprite
20027,10,181,1420,-1,-1,Slime (Green),Earth Sprite
20028,10,190,1470,-1,-1,Slime (Green),Earth Sprite
20029,10,198,1520,-1,-1,Slime (Green),Earth Sprite
20030,10,207,1570,-1,-1,Slime (Green),Earth Sprite
20031,15,216,1620,-1,-1,Slime (Green),Earth Sprite
20032,15,225,1670,-1,-1,Slime (Green),Earth Sprite
20033,15,234,1720,-1,-1,Slime (Green),Earth Sprite
20034,15,244,1770,-1,-1,Slime (Green),Earth Sprite
20035,15,253,1820,-1,-1,Slime (Green),Earth Sprite
20036,15,263,1870,-1,-1,Slime (Green),Earth Sprite
20037,15,272,1920,-1,-1,Slime (Green),Earth Sprite
20038,15,282,1970,-1,-1,Slime (Green),Earth Sprite
20039,15,292,2020,-1,-1,Slime (Green),Earth Sprite
20040,15,302,2070,-1,-1,Slime (Green),Earth Sprite
20041,15,312,2120,-1,-1,Slime (Green),Earth Sprite
20042,15,322,2170,-1,-1,Slime (Green),Earth Sprite
20043,15,333,2220,-1,-1,Slime (Green),Earth Sprite
20044,15,343,2270,-1,-1,Slime (Green),Earth Sprite
20045,15,354,2320,-1,-1,Slime (Green),Earth Sprite
20046,15,364,2370,-1,-1,Slime (Green),Earth Sprite
20047,15,375,2420,-1,-1,Slime (Green),Earth Sprite
20048,15,386,2470,-1,-1,Slime (Green),Earth Sprite
20049,15,397,2520,-1,-1,Slime (Green),Earth Sprite
20050,15,408,2570,-1,-1,Slime (Green),Earth Sprite
20051,30,419,2620,-1,-1,Goblin Thug (Green),Goblin Thug (Red)
20052,30,430,2670,-1,-1,Goblin Thug (Green),Goblin Thug (Red)
20053,30,442,2720,-1,-1,Goblin Thug (Green),Goblin Thug (Red)
20054,30,453,2770,-1,-1,Goblin Thug (Green),Goblin Thug (Red)
20055,30,465,2820,-1,-1,Goblin Thug (Green),Goblin Thug (Red)
20056,30,476,2870,-1,-1,Goblin Thug (Green),Goblin Thug (Red)
20057,30,488,2920,-1,-1,Goblin Thug (Green),Goblin Thug (Red)
20058,30,500,2970,-1,-1,Goblin Thug (Green),Goblin Thug (Red)
20059,30,512,3020,-1,-1,Goblin Thug (Green),Goblin Thug (Red)
20060,30,524,3070,-1,-1,Goblin Thug (Green),Goblin Thug (Red)
20061,30,536,3120,-1,-1,Goblin Thug (Green),Goblin Thug (Red)
20062,30,548,3170,-1,-1,Goblin Thug (Green),Goblin Thug (Red)
20063,30,561,3220,-1,-1,Goblin Thug (Green),Goblin Thug (Red)
20064,30,573,3270,-1,-1,Goblin Thug (Green),Goblin Thug (Red)
20065,30,586,3320,-1,-1,Goblin Thug (Green),Goblin Thug (Red)
20066,30,598,3370,-1,-1,Goblin Thug (Green),Goblin Thug (Red)
20067,30,611,3420,-1,-1,Goblin Thug (Green),Goblin Thug (Red)
20068,30,624,3470,-1,-1,Goblin Thug (Green),Goblin Thug (Red)
20069,30,637,3520,-1,-1,Goblin Thug (Green),Goblin Thug (Red)
20070,30,650,3570,-1,-1,Goblin Thug (Green),Goblin Thug (Red)
20071,40,663,3620,-1,-1,Goblin Thug (Green),Goblin Thug (Red)
20072,40,676,3670,-1,-1,Goblin Thug (Green),Goblin Thug (Red)
20073,40,689,3720,-1,-1,Goblin Thug (Green),Goblin Thug (Red)
20074,40,702,3770,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
20075,40,716,3820,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
20076,40,729,3870,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
20077,40,743,3920,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
20078,40,756,3970,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
20079,40,770,4020,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
20080,40,784,4070,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
20081,40,798,4120,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
20082,40,811,4170,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
20083,40,826,4220,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
20084,40,840,4270,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
20085,40,854,4320,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
20086,40,868,4370,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
20087,40,882,4420,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
20088,40,897,4470,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
20089,40,911,4520,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
20090,40,926,4570,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
20091,40,941,4620,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
20092,40,955,4670,-1,-1,Goblin Thug (Green),Goblin Thug (Blue)
