QuestID,List,Division,Targetvalue,reward,rewardvalue,Next_Quest,StringId,Level
60001,스킬 1번 조합,4,1,220001,1000,60002,120004,1
60002,체력 강화 1레벨 달성,6,1,220001,5000,60003,120006,2
60003,스킬 조합 2레벨 달성,3,2,220001,1300,60004,120003,3
60004,공격력 강화 10레벨 달성,5,10,220001,2125,60005,120005,4
60005,체력 강화 10레벨 달성,6,10,220001,2050,60006,120006,5
60006,방어력 강화 10레벨 달성,7,10,220001,2000,60007,120007,6
60007,몬스터 처치 30 마리,2,30,220001,2000,60008,120002,7
60008,스테이지 5 클리어,1,5,220002,100,60009,120001,8
60009,스킬 5번 조합,4,5,220001,3000,60010,120004,9
60010,몬스터 처치 15마리,2,15,220001,3300,60011,120002,10
60011,공격력 강화 20레벨 달성,5,20,220001,4625,60012,120005,11
60012,체력 강화 20레벨 달성,6,20,220001,5600,60013,120006,12
60013,방어력 강화 20레벨 달성,7,20,220001,3000,60014,120007,13
60014,몬스터 처치 30 마리,2,30,220001,3000,60015,120002,14
60015,스테이지 10 클리어,1,10,220002,100,60016,120001,15
60016,스킬 5번 조합,4,5,220001,7000,60017,120004,16
60017,스킬 조합 3레벨 달성,3,3,220001,6400,60018,120003,17
60018,공격력 강화 30레벨 달성,5,30,220001,8500,60019,120005,18
60019,체력 강화 30레벨 달성,6,30,220001,11000,60020,120006,19
60020,방어력 강화 30레벨 달성,7,30,220001,7000,60021,120007,20
60021,몬스터 처치 30 마리,2,30,220001,7000,60022,120002,21
60022,스테이지 15 클리어,1,15,220005,10,60023,120001,22
60023,장비 뽑기 10회 실행,14,10,220002,100,60024,120545,23
60024,스킬 5번 조합,4,5,220001,10000,60025,120004,24
60025,스킬 조합 4레벨 달성,3,4,220001,10400,60026,120003,25
60026,공격력 강화 40레벨 달성,5,40,220001,13500,60027,120005,26
60027,체력 강화 40레벨 달성,6,40,220001,18000,60028,120006,27
60028,방어력 강화 40레벨 달성,7,40,220001,10000,60029,120007,28
60029,몬스터 처치 30 마리,2,30,220001,10000,60030,120002,29
60030,스테이지 20 클리어,1,20,220002,100,60031,120001,30
60031,스킬 5번 조합,4,5,220001,15000,60032,120004,31
60032,스킬 조합 5레벨 달성,3,5,220001,15500,60033,120003,32
60033,공격력 강화 50레벨 달성,5,50,220001,19875,60034,120005,33
60034,체력 강화 50레벨 달성,6,50,220001,27000,60035,120006,34
60035,방어력 강화 50레벨 달성,7,50,220001,15000,60036,120007,35
60036,몬스터 처치 30 마리,2,30,220001,15000,60037,120002,36
60037,스테이지 30 클리어,1,30,220005,10,60038,120001,37
60038,장비 뽑기 10회 실행,14,10,220002,100,60039,120545,38
60039,스킬 5번 조합,4,5,220001,20000,60040,120004,39
60040,스킬 조합 6레벨 달성,3,6,220001,2625,60041,120003,40
60041,치명타 확률 10레벨 달성,8,10,220001,3625,60042,120008,41
60042,치명타 데미지 10레벨 달성,9,10,220001,2575,60043,120009,42
60043,체력 회복 10레벨 달성,10,10,220001,2075,60044,120010,43
60044,골드 획득 강화 10레벨 달성,11,10,220001,21500,60045,120011,44
60045,공격력 강화 60레벨 달성,5,60,220001,27375,60046,120005,45
60046,체력 강화 60레벨 달성,6,60,220001,37500,60047,120006,46
60047,방어력 강화 60레벨 달성,7,60,220001,20000,60048,120007,47
60048,몬스터 처치 30 마리,2,30,220002,150,60049,120002,48
60049,스테이지 40 클리어,1,40,220003,1,60050,120001,49
60050,골드 던전 1회 플레이,12,1,220002,100,60051,120543,50
60051,스킬 조합 7레벨 달성,3,7,220001,28600,60052,120003,51
60052,공격력 강화 70레벨 달성,5,70,220001,36250,60053,120005,52
60053,체력 강화 70레벨 달성,6,70,220001,50000,60054,120006,53
60054,방어력 강화 70레벨 달성,7,70,220001,25000,60055,120007,54
60055,몬스터 처치 30 마리,2,30,220001,25000,60056,120002,55
60056,스테이지 50 클리어,1,50,220004,1,60057,120001,56
60057,다이아 던전 1회 플레이,13,1,220002,150,60058,120544,57
